gloss,index,contain
脑积水（1）,20503,0
脑积水（2）,20504,0
中暑病,20505,0
抑郁症,20506,0
焦虑症,20507,0
强迫症,20508,0
情感障碍,20509,0
精神分裂症,20510,0
躁狂症,20511,0
恐惧症心理障碍,20512,0
产后抑郁,20513,0
神经衰弱,20514,0
自闭症,20515,0
梦游症,20516,0
酒精依赖性情感障碍,20517,0
行为问题,20518,0
梦魇,20519,0
厌食症,20520,0
嗜睡症,20521,0
人格障碍,20522,0
性心理障碍,20523,0
注意力-多动障碍综合征（多动症）,20524,0
自杀(1),20525,0
自杀(2),20526,0
自卑,20527,0
白血病,20528,0
贫血,20529,0
血友病,20530,0
脾功能亢进,20531,0
血小板减少症,20532,0
骨髓瘤,20533,0
血栓,20534,0
高血脂,20535,0
风湿病,20536,0
类风湿病,20537,0
红斑狼疮,20538,0
痛风,20539,0
脊柱炎,20540,0
干燥综合征,20541,0
早搏,20542,0
先天性心脏病,20543,0
心律失常,20544,0
冠心病,20545,0
动脉粥样硬化,20546,0
心肌病,20547,0
心肌炎,20548,0
风湿性心脏病,20549,0
心绞痛,20550,0
心脏骤停,20551,0
静脉曲张,20552,0
血管炎,20553,0
鼻炎,20554,0
感冒,20555,0
普通感冒,20556,0
流行性感冒,20557,0
支气管炎,20558,0
支气管扩张症,20559,0
支气管哮喘,20560,0
肺炎,20561,0
胸膜炎,20562,0
肺脓肿,20563,0
肺气肿,20564,0
肺结核,20565,0
肺癌,20566,0
肺心病,20567,0
肺栓塞,20568,0
气胸,20569,0
胸腔积液,20570,0
呼吸衰竭,20571,0
高原病（高山病）,20572,0
食管炎,20573,0
食道癌,20574,0
胃炎,20575,0
萎缩性胃炎,20576,0
胃溃疡,20577,0
胃出血,20578,0
胃下垂,20579,0
胃癌,20580,0
十二指肠溃疡,20581,0
胃十二指肠穿孔,20582,0
胰腺炎,20583,0
胰腺结石,20584,0
胰腺癌,20585,0
肝炎,20586,0
肝硬化,20587,0
脂肪性肝病,20588,0
酒精性肝病,20589,0
胆囊炎,20590,0
肝癌,20591,0
阑尾炎,20592,0
肠炎,20593,0
肠结核,20594,0
结肠炎,20595,0
肠息肉,20596,0
肠梗阻,20597,0
直肠癌,20598,0
结肠癌,20599,0
肠瘘,20600,0
肛裂,20601,0
痔疮,20602,0
痢疾,20603,0
消化道出血,20604,0
消化不良,20605,0
口臭,20606,0
食物中毒,20607,0
尿路感染,20608,0
膀胱炎,20609,0
肾炎,20610,0
肾衰,20611,0
肾病综合征,20612,0
肾功能衰竭,20613,0
肾结石,20614,0
膀胱结石,20615,0
输尿管结石,20616,0
男性不育,20617,0
前列腺炎,20618,0
性功能障碍,20619,0
龟头炎,20620,0
阳痿,20621,0
早泄,20622,0
子宫肌瘤,20623,0
卵巢囊肿,20624,0
宫颈炎,20625,0
不孕不育,20626,0
阴道炎,20627,0
月经失调（1）,20628,0
月经失调（2）,20629,0
痛经,20630,0
盆腔炎,20631,0
内泌失调（1）,20632,0
内泌失调（2）,20633,0
白带异常,20634,0
流产,20635,0
引产,20636,0
妊娠反应,20637,0
宫颈癌,20638,0
计划生育,20639,0
胎位异常,20640,0
胎儿发育异常,20641,0
死胎,20642,0
输卵管不通,20643,0
胎膜早破,20644,0
羊水过多,20645,0
早产儿,20646,0
剖腹产,20647,0
糖尿病,20648,0
低血糖症,20649,0
肥胖症,20650,0
甲状腺炎,20651,0
甲状腺功能亢进（甲亢）,20652,0
甲状腺功能低下（甲低）,20653,0
近视,20654,0
远视,20655,0
散光,20656,0
色盲,20657,0
色弱,20658,0
老花眼,20659,0
弱视,20660,0
眼底病,20661,0
眼外伤,20662,0
青光眼,20663,0
白内障,20664,0
角膜炎,20665,0
结膜炎,20666,0
干眼症,20667,0
沙眼,20668,0
斜视,20669,0
视网膜脱落,20670,0
眼睑下垂,20671,0
近视眼手术,20672,0
倒睫,20673,0
泪道阻塞,20674,0
中耳炎,20675,0
突发性耳聋,20676,0
老年性耳聋,20677,0
外耳道炎,20678,0
鼻息肉,20679,0
咽炎,20680,0
喉癌,20681,0
扁桃体炎,20682,0
扁桃体切除,20683,0
鼻窦炎,20684,0
拔牙,20685,0
牙周炎,20686,0
牙髓炎,20687,0
牙龈炎,20688,0
口腔溃疡,20689,0
牙颌畸形,20690,0
牙齿美白,20691,0
洗牙,20692,0
种牙,20693,0
烤瓷牙,20694,0
牙折,20695,0
牙齿种植,20696,0
磨损,20697,0
牙齿松动,20698,0
牙周萎缩,20699,0
皮炎,20700,0
痤疮,20701,0
神经性皮炎,20702,0
荨麻疹,20703,0
皮肤过敏,20704,0
痣,20705,0
牛皮癣（银屑病）,20706,0
湿疹,20707,0
癣,20708,0
脚气,20709,0
腋臭,20710,0
体癣,20711,0
手癣,20712,0
脱发,20713,0
冻伤,20714,0
病毒性肝炎,20715,0
细菌性痢疾,20716,0
流行性脑膜炎,20717,0
乙型脑炎,20718,0
腮腺炎,20719,0
手足口病,20720,0
水痘,20721,0
麻疹,20722,0
风疹,20723,0
幼儿急疹,20724,0
百日咳,20725,0
破伤风,20726,0
狂犬病,20727,0
性病,20728,0
艾滋病,20729,0
医院,20730,0
诊所,20731,0
门诊,20732,0
服务台（1）,20733,0
服务台（2）,20734,0
咨询处,20735,0
挂号处,20736,0
收费处,20737,0
诊室,20738,0
观察室,20739,0
治疗室,20740,0
药房,20741,0
急诊室,20742,0
重症监护室,20743,0
ICU,20744,0
住院处,20745,0
病房,20746,0
手术室,20747,0
呼吸内科,20748,0
消化内科,20749,0
心血管内科,20750,0
神经内科,20751,0
血液内科,20752,0
肿瘤内科,20753,0
风湿免疫内科,20754,0
内分泌科,20755,0
肾内科,20756,0
感染内科,20757,0
传染科,20758,0
肝病科,20759,0
骨外科,20760,0
神经外科,20761,0
心脏外科,20762,0
普胸外科,20763,0
普通外科,20764,0
肛肠科,20765,0
消化外科,20766,0
肝胆外科,20767,0
泌尿外科,20768,0
矫形外科,20769,0
烧伤整形科,20770,0
肿瘤外科,20771,0
麻醉科(1),20772,0
麻醉科(2),20773,0
妇科,20774,0
产科,20775,0
儿科,20776,0
计划生育科,20777,0
检验科,20778,0
病理科,20779,0
放射科,20780,0
导管室,20781,0
介入科,20782,0
超声科,20783,0
心电图室,20784,0
血库,20785,0
内镜室,20786,0
胃镜,20787,0
肠镜,20788,0
耳鼻喉科,20789,0
眼科,20790,0
口腔科,20791,0
皮肤科,20792,0
心理科,20793,0
中医科,20794,0
针灸推拿科,20795,0
保健科,20796,0
化疗科(1),20797,0
化疗科(2),20798,0
放疗科,20799,0
康复科,20800,0
急诊科,20801,0
ICU科,20802,0
药剂科,20803,0
太平间,20804,0
院长,20805,0
副院长,20806,0
主任医师,20807,0
副主任医师,20808,0
科室主任,20809,0
特诊专家,20810,0
主治医师,20811,0
住院医师,20812,0
实习大夫,20813,0
护士,20814,0
护士长,20815,0
主管护士,20816,0
药剂师,20817,0
麻醉师(1),20818,0
麻醉师(2),20819,0
营养师,20820,0
人工耳蜗,21003,0
老花镜,21004,0
义齿,21005,0
避孕套,21006,0
测孕纸,21007,0
助听器,21008,0
注射器,21009,0
输液器,21010,0
动态心电监护仪,21011,0
支架,21012,0
起搏器,21013,0
导管,21014,0
血压计,21015,0
听诊器,21016,0
吸氧面罩,21017,0
呼吸机,21018,0
体温计,21019,0
视力检查仪,21020,0
电针仪,21021,0
高压氧治疗,21022,0
医用棉签,21023,0
酒精棉签,21024,0
碘酒棉签,21025,0
创可贴,21026,0
纱布绷带,21027,0
石膏绷带,21028,0
轮椅,21029,0
担架,21030,0
肛门袋,21031,0
集尿袋,21032,0
引流袋,21033,0
血常规检查,21034,0
血型,21035,0
A型,21036,0
B型,21037,0
AB型,21038,0
O型,21039,0
红细胞,21040,0
白细胞,21041,0
血红蛋白,21042,0
血小板,21043,0
血脂,21044,0
血糖,21045,0
胆固醇,21046,0
血生化,21047,0
出凝血检查,21048,0
肝功能检查,21049,0
肾功能检查,21050,0
血气分析,21051,0
尿常规检查,21052,0
大便常规检查,21053,0
胸片,21054,0
胸透,21055,0
CT,21056,0
磁共振,21057,0
MRI,21058,0
CR,21059,0
X-光摄片,21060,0
B超,21061,0
彩超,21062,0
胸腔镜,21063,0
腹腔镜,21064,0
宫腔镜,21065,0
关节镜,21066,0
心电图,21067,0
脑电图,21068,0
脑血流图,21069,0
脑脊液检查,21070,0
药片,20889,0
药丸,20890,0
胶囊,20891,0
散剂,20892,0
口服液,20893,0
糖浆,20894,0
贴膏,20895,0
眼药水（1）,20896,0
眼药水（2）,20897,0
生理盐水（1）,20898,0
生理盐水（2）,20899,0
钡餐,20900,0
抗生素,20901,0
抗病毒药,20902,0
清热药,20903,0
泻下药,20904,0
消炎药,20905,0
消食药,20906,0
止咳药,20907,0
止血药,20908,0
活血化瘀药,20909,0
麻醉药(1),20910,0
麻醉药(2),20911,0
镇静催眠药,20912,0
维生素,20913,0
补钙药,20914,0
微量元素,20915,0
避孕药,20916,0
青霉素,20917,0
头孢,20918,0
红霉素,20919,0
阿司匹林,20920,0
芬必得,20921,0
扑尔敏,20922,0
胰岛素,20923,0
降压药,20924,0
服用,20925,0
内服,20926,0
外用,20927,0
皮下注射,20928,0
静脉滴注,20929,0
舌下含化,20930,0
餐后服用,20931,0
睡前服用,20932,0
饭前服用,20933,0
空腹,20934,0
开水送服,20935,0
咀嚼,20936,0
一日三次,20937,0
一日一次,20938,0
一日两次,20939,0
一次一片,20940,0
一次两片,20941,0
副作用,20942,0
禁用,20943,0
慎用,20944,0
孕妇禁用,20945,0
需要时服用,20946,0
多饮水,20947,0
辛辣,20948,0
蛋白质,20949,0
脂肪,20950,0
葡萄糖,20951,0
纤维素,20952,0
矿物质,20953,0
钙（CA）,20954,0
茶水（1）,20955,0
茶水（2）,20956,0
茶水（3）,20957,0
茶水（4）,20958,0
咖啡,20959,0
果汁,20960,0
营养,20961,0
热量,20962,0
正常,20963,0
均衡,20964,0
缺乏,20965,0
过饥,20966,0
过饱,20967,0
过剩,20968,0
